iter	Passed	Remaining
0	158	158002
1	160	80245
2	163	54362
3	166	41409
4	168	33623
5	171	28441
6	174	24776
7	177	22001
8	180	19843
9	182	18101
10	185	16641
11	188	15552
12	191	14543
13	194	13705
14	198	13019
15	202	12443
16	206	11950
17	208	11375
18	211	10937
19	214	10529
20	217	10161
21	221	9838
22	224	9524
23	227	9233
24	229	8934
25	230	8649
26	232	8387
27	235	8178
28	238	7984
29	240	7774
30	242	7582
31	245	7429
32	248	7276
33	250	7114
34	253	6982
35	256	6861
36	259	6759
37	263	6662
38	266	6563
39	268	6454
40	271	6360
41	274	6272
42	277	6172
43	279	6081
44	282	6001
45	285	5922
46	287	5824
47	289	5743
48	292	5674
49	294	5593
50	296	5514
51	299	5453
52	301	5395
53	303	5323
54	306	5273
55	310	5235
56	312	5169
57	314	5106
58	317	5057
59	320	5015
60	322	4961
61	326	4935
62	328	4879
63	330	4838
64	333	4800
65	336	4763
66	339	4731
67	342	4694
68	345	4659
69	348	4628
70	350	4591
71	354	4564
72	357	4536
73	359	4504
74	363	4477
75	366	4451
76	368	4411
77	371	4387
78	372	4347
79	374	4309
80	376	4271
81	379	4249
82	381	4217
83	384	4191
84	388	4176
85	391	4162
86	396	4157
87	398	4126
88	401	4105
89	403	4081
90	407	4069
91	409	4046
92	413	4028
93	416	4010
94	419	3993
95	422	3974
96	424	3950
97	427	3935
98	430	3918
99	434	3906
100	436	3889
101	439	3872
102	442	3857
103	444	3832
104	446	3806
105	448	3784
106	450	3760
107	452	3736
108	455	3723
109	457	3702
110	459	3683
111	464	3686
112	468	3677
113	471	3666
114	475	3657
115	481	3672
116	484	3659
117	488	3654
118	497	3682
119	500	3670
120	504	3661
121	506	3647
122	513	3658
123	515	3639
124	517	3623
125	519	3604
126	522	3592
127	525	3578
128	528	3570
129	531	3560
130	534	3544
131	537	3535
132	539	3519
133	542	3504
134	545	3492
135	548	3484
136	551	3474
137	554	3463
138	557	3454
139	559	3439
140	562	3428
141	565	3418
142	567	3400
143	569	3386
144	573	3383
145	576	3369
146	577	3353
147	579	3336
148	582	3325
149	585	3315
150	587	3304
151	590	3295
152	593	3286
153	597	3281
154	600	3273
155	607	3289
156	610	3276
157	612	3262
158	615	3253
159	617	3242
160	620	3235
161	623	3225
162	627	3221
163	631	3220
164	635	3218
165	637	3204
166	640	3197
167	643	3189
168	645	3175
169	647	3162
170	650	3151
171	652	3140
172	655	3132
173	658	3125
174	661	3118
175	663	3107
176	666	3098
177	669	3091
178	676	3100
